Encuestador;Fecha;Muestra;PP;PSOE;UP;C's;ERC-CATSI;DL;EAJ-PNV;PODEMOS*;IU
Celeste-Tel;17/6/16;1100;30.2;21.5;25.0;13.1;2.4;1.7;1.1;;
Hamalgama;17/6/16;1400;30.4;21.0;26.2;12.5;2.1;2.0;1.3;;
GESOP;17/6/16;900;28.3;21.2;24.2;15.6;;;;;
El Espanol;17/6/16;2000;30.4;20.4;24.0;15.2;;;;;
Celeste-Tel;16/6/16;1100;30.3;21.8;25.1;13.4;2.4;1.7;1.2;;
SigmaDos;16/6/16;1000;30.5;20.0;24.8;14.1;2.4;1.8;1.2;;
GAD3;16/6/16;1400;30.3;21.4;24.6;14.4;2.3;1.7;1.2;;
GESOP;16/6/16;900;28.6;20.8;24.1;15.6;;;;;
Metroscopia;15/6/16;1800;29.0;20.5;26.0;14.5;;;;;
MyWord;16/6/16;1502;28.9;20.4;24.8;14.4;;;;;
Invymark;15/6/16;1200;29.8;20.4;25.3;14.1;;;;;
DYM;15/6/16;1011;29.0;21.0;24.9;15.2;;;;;
Advice Strategic;15/6/16;2500;29.6;20.5;25.1;14.8;;;;;
GESOP;15/6/16;900;28.3;20.8;24.5;15.4;;;;;
Redondo & Asociados;14/6/16;1000;29.2;21.1;24.6;15.3;2.2;1.5;1.1;;
GESOP;14/6/16;900;27.8;21.1;24.7;15.2;;;;;
Celeste-Tel;14/6/16;1100;29.8;22.0;24.9;13.8;2.4;1.7;1.2;;
GESOP;13/6/16;900;28.0;21.0;24.9;14.9;;;;;
TNS;12/6/16;500;29.0;21.3;24.5;15.6;;;;;
SyM Consulting;10/6/16;1816;29.7;22.9;24.4;13.4;;;;;
El Espanol;10/6/16;2000;28.8;21.0;24.7;15.8;;;;;
Sondaxe;9/6/16;1005;29.2;21.4;26.1;12.9;2.4;1.9;0.9;;
Metroscopia;8/6/16;1200;28.9;20.8;25.4;15.9;;;;;
GESOP;7/6/16;1816;27.9;21.2;24.5;15.5;2.3;1.6;;;
GAD3;6/6/16;1000;29.8;21.4;24.3;14.9;2.4;1.8;1.2;;
Invymark;6/6/16;1200;30.1;20.0;24.8;14.4;2.6;1.7;1.3;;
Celeste-Tel;6/6/16;1100;29.7;22.1;24.4;14.3;2.4;1.7;1.2;;
NC;3/6/16;2000;30.5;21.4;24.5;13.9;2.3;1.7;1.1;;
El Espanol;3/6/16;1000;27.7;21.6;24.3;15.4;;;;;
SigmaDos;2/6/16;1000;31.0;20.3;23.7;14.0;2.6;2.2;1.3;;
Metroscopia;1/6/16;1200;28.5;20.2;25.6;16.6;;;;;
NC;27/5/16;2000;30.5;21.3;24.7;14.2;2.2;1.6;1.1;;
GAD3;26/5/16;1000;29.6;21.6;22.5;14.8;2.4;2.2;1.2;;
Advice Strategic;25/5/16;2500;29.8;20.4;24.4;14.7;;;;;
MyWord;24/5/16;1000;29.2;20.7;24.8;14.2;;;;;
CIS;22/5/16;17488;29.2;21.2;25.6;14.6;2.4;1.8;1.2;;
Celeste-Tel;20/5/16;1100;29.5;22.0;24.2;14.9;2.3;1.5;1.2;;
NC;20/5/16;2500;30.4;21.1;24.9;14.5;2.3;1.5;1.1;;
GIPEyOP;18/5/16;2940;29.3;21.9;24.3;13.3;2.5;2.1;1.2;;
Metroscopia;18/5/16;1200;29.9;20.2;23.2;15.5;;;;;
Redondo & Asociados;17/5/16;1000;29.4;21.2;24.3;15.1;2.2;1.5;1.1;;
Invymark;13/5/16;1200;29.6;20.1;24.2;15.1;;;;;
El Espanol;13/5/16;1000;30.8;19.7;23.7;14.7;;;;;
NC;12/5/16;1500;30.2;21.0;24.9;14.7;2.2;1.5;1.1;;
